市场代码,合约代码,时间,最新,持仓,增仓,成交额,成交量,开仓,平仓,成交类型,方向,买一价,卖一价,买一量,卖一量
ZC,CF705,2017-05-04 21:00:25.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,12,10
ZC,CF705,2017-05-04 21:00:26.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,19,10
ZC,CF705,2017-05-04 21:00:26.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,21,10
ZC,CF705,2017-05-04 21:00:27.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,18,10
ZC,CF705,2017-05-04 21:00:27.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15665.0000,15,10
ZC,CF705,2017-05-04 21:00:28.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15665.0000,20,10
ZC,CF705,2017-05-04 21:00:28.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15665.0000,22,10
ZC,CF705,2017-05-04 21:00:28.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,1,10
ZC,CF705,2017-05-04 21:00:30.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15665.0000,24,10
ZC,CF705,2017-05-04 21:00:31.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15665.0000,21,10
ZC,CF705,2017-05-04 21:00:31.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15665.0000,20,10
ZC,CF705,2017-05-04 21:00:31.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15665.0000,10,10
ZC,CF705,2017-05-04 21:00:32.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15665.0000,4,10
ZC,CF705,2017-05-04 21:00:33.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15665.0000,35,15
ZC,CF705,2017-05-04 21:00:34.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,32,15
ZC,CF705,2017-05-04 21:00:40.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,32,13
ZC,CF705,2017-05-04 21:00:40.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,32,10
ZC,CF705,2017-05-04 21:00:40.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15655.0000,15665.0000,32,10
ZC,CF705,2017-05-04 21:00:59.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15650.0000,15665.0000,32,15
ZC,CF705,2017-05-04 21:01:16.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15645.0000,15660.0000,19,5
ZC,CF705,2017-05-04 21:01:17.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,32,5
ZC,CF705,2017-05-04 21:01:17.000,15660.0000,52782,0,0.0000,0,-,-,-,-,15640.0000,15655.0000,32,2
